age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,name,id,age_group,is_new_customer,has_success_before,contact_month,campaign_efficiency
35,1,1,1,0,2,0,1,6,1,146,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Sarah Johnson,BBVOYR4A,26-35,1,0,telephone_may,0.0
54,5,1,2,1,2,2,1,6,1,174,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,David Martinez,DNRKU5NL,46-60,1,0,telephone_may,0.0
35,1,1,1,0,2,0,1,6,1,312,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,David Williams,EO2HXR1Z,26-35,1,0,telephone_may,0.0
46,1,1,1,1,2,2,1,6,1,440,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Michael Garcia,NVCF7QSY,46-60,1,0,telephone_may,0.0
50,1,1,2,0,2,2,1,6,1,353,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,David Hernandez,EVI9LFGY,46-60,1,0,telephone_may,0.0
39,4,2,2,1,0,0,1,6,1,195,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Jane Williams,RC4O3N57,36-45,1,0,telephone_may,0.0
30,10,1,3,0,0,0,1,6,1,38,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Jane Martinez,Z8L5N46H,26-35,1,0,telephone_may,0.0
55,1,1,0,1,2,0,1,6,1,262,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Michael Davis,9Q4AVF5H,46-60,1,0,telephone_may,0.0
55,5,2,3,0,2,0,1,6,1,342,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Katie Jones,C6IJ69HE,46-60,1,0,telephone_may,0.0
41,9,2,3,0,2,0,1,6,1,181,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Jane Brown,WQY5Z7BG,36-45,1,0,telephone_may,0.0
37,0,1,3,0,2,0,1,6,1,172,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Emily Jones,YZVWSGZQ,36-45,1,0,telephone_may,0.0
35,9,1,6,0,0,2,1,6,1,99,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Katie Davis,6LB0BNFL,26-35,1,0,telephone_may,0.0
59,9,1,7,0,2,0,1,6,1,93,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Alex Johnson,2BRF9267,46-60,1,0,telephone_may,0.0
39,6,1,2,1,0,0,1,6,1,233,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Laura Miller,PI52PY1C,36-45,1,0,telephone_may,0.0
54,9,2,6,1,0,0,1,6,1,255,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,David Johnson,0OXU30A6,46-60,1,0,telephone_may,0.0
55,11,1,6,1,1,1,1,6,1,362,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,David Miller,SPM65IH4,46-60,1,0,telephone_may,0.0
46,0,1,7,0,0,0,1,6,1,348,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Chris Jones,WQPJDWOC,46-60,1,0,telephone_may,0.0
59,9,1,7,0,2,0,1,6,1,386,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Laura Miller,WFDGKYZ8,46-60,1,0,telephone_may,0.0
49,1,1,7,0,0,0,1,6,1,73,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,David Hernandez,XNC973CI,46-60,1,0,telephone_may,0.0
54,4,1,0,1,2,0,1,6,1,230,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,John Davis,NVVLMRCL,46-60,1,0,telephone_may,0.0
54,1,0,0,0,0,0,1,6,1,208,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Jane Martinez,29YW2SCB,46-60,1,0,telephone_may,0.0
55,11,1,0,1,2,0,1,6,1,336,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Emily Williams,QZMYUJ18,46-60,1,0,telephone_may,0.0
34,7,1,3,0,0,0,1,6,1,365,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Michael Garcia,OXGDNBEP,26-35,1,0,telephone_may,0.0
52,9,1,2,0,2,0,1,6,1,1666,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Alex Hernandez,5Q3IXBM1,46-60,1,0,telephone_may,0.0
41,0,1,6,0,2,0,1,6,1,577,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Chris Smith,J1Q0Q9DU,36-45,1,0,telephone_may,0.0
56,9,1,0,0,2,0,1,6,1,137,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,David Williams,053IL4B8,46-60,1,0,telephone_may,0.0
58,4,3,6,0,2,0,1,6,1,366,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,John Garcia,F90H5V9Q,46-60,1,0,telephone_may,0.0
32,2,1,3,0,2,0,1,6,1,314,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Jane Hernandez,CD3OYHQ1,26-35,1,0,telephone_may,0.0
38,0,2,5,0,0,0,1,6,1,160,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Jane Davis,KH5TD4BC,36-45,1,0,telephone_may,0.0
57,0,1,6,0,0,2,1,6,1,212,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Chris Davis,X4U8J6F3,46-60,1,0,telephone_may,0.0
44,0,1,6,1,2,0,1,6,1,188,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Alex Davis,690APROL,36-45,1,0,telephone_may,0.0
42,9,2,5,1,0,0,1,6,1,22,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Chris Brown,CK5NK0EK,36-45,1,0,telephone_may,0.0
57,0,1,6,0,2,2,1,6,1,616,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Emily Brown,2RQYOYJ9,46-60,1,0,telephone_may,0.0
40,1,1,2,0,0,2,1,6,1,178,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Sarah Martinez,FGX5N9A4,36-45,1,0,telephone_may,0.0
35,0,1,6,0,2,0,1,6,1,355,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Michael Johnson,QKVIEG6R,26-35,1,0,telephone_may,0.0
45,1,1,2,0,2,0,1,6,1,225,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Emily Brown,MPLGRN4C,36-45,1,0,telephone_may,0.0
54,0,1,3,0,0,0,1,6,1,160,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Emily Garcia,2C1UT4P8,46-60,1,0,telephone_may,0.0
39,3,1,0,0,0,2,1,6,1,266,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Laura Davis,RIB376WG,36-45,1,0,telephone_may,0.0
60,0,1,3,0,0,0,1,6,1,253,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Alex Martinez,B3GG5ZGV,46-60,1,0,telephone_may,0.0
53,0,2,5,0,0,0,1,6,1,179,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Michael Jones,IS8TRVMN,46-60,1,0,telephone_may,0.0
55,1,1,0,1,0,0,1,6,1,269,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Katie Davis,2S67OIPF,46-60,1,0,telephone_may,0.0
55,9,1,5,1,2,0,1,6,1,135,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Chris Martinez,JTBLEB2T,46-60,1,0,telephone_may,0.0
50,4,1,6,1,0,2,1,6,1,161,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Laura Garcia,WQBKH2PG,46-60,1,0,telephone_may,0.0
45,7,1,3,1,2,0,1,6,1,787,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Chris Miller,M5F9HVUR,36-45,1,0,telephone_may,0.0
55,10,1,5,1,2,2,1,6,1,145,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Laura Williams,SHDW76YK,46-60,1,0,telephone_may,0.0
25,9,2,6,0,2,0,1,6,1,174,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Sarah Garcia,LYPH3LSE,18-25,1,0,telephone_may,0.0
47,2,1,6,1,0,0,1,6,1,449,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Jane Jones,DE0TLMK5,46-60,1,0,telephone_may,0.0
51,1,1,2,0,2,0,1,6,1,812,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Katie Martinez,PRYMMX67,46-60,1,0,telephone_may,0.0
42,1,1,1,1,2,0,1,6,1,164,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Jane Martinez,96SQY1EP,36-45,1,0,telephone_may,0.0
42,1,1,1,1,0,0,1,6,1,366,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,John Martinez,F5S3CI7L,36-45,1,0,telephone_may,0.0
48,0,1,3,0,0,0,1,6,1,357,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,David Johnson,LEZ26USU,46-60,1,0,telephone_may,0.0
37,0,1,6,0,0,0,1,6,1,232,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,John Brown,DMZZT1KN,36-45,1,0,telephone_may,0.0
44,1,2,2,0,2,0,1,6,1,91,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Katie Brown,ISXU9UOV,36-45,1,0,telephone_may,0.0
33,0,1,7,0,2,0,1,6,1,273,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Emily Johnson,IMJ58IP2,26-35,1,0,telephone_may,0.0
56,0,1,2,0,2,0,1,6,1,158,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,David Davis,XYV3JRBJ,46-60,1,0,telephone_may,0.0
44,1,2,0,1,2,2,1,6,1,177,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Jane Davis,3SVGE7TL,36-45,1,0,telephone_may,0.0
41,4,1,1,0,0,0,1,6,1,200,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,John Martinez,L6787YCK,36-45,1,0,telephone_may,0.0
44,4,0,6,0,2,0,1,6,1,172,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Katie Martinez,I63Q71PB,36-45,1,0,telephone_may,0.0
47,0,1,6,1,2,0,1,6,1,176,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Sarah Williams,177RFHIP,46-60,1,0,telephone_may,0.0
57,11,1,7,1,0,0,1,6,1,211,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Katie Davis,ZV7DQ33A,46-60,1,0,telephone_may,0.0
37,0,1,6,1,2,0,1,6,1,214,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Michael Johnson,DJ6CY8DX,36-45,1,0,telephone_may,0.0
41,1,0,0,1,2,0,1,6,1,1575,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,yes,Sarah Williams,SUOXAEG4,36-45,1,0,telephone_may,0.0
55,9,1,6,0,0,0,1,6,1,349,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Chris Johnson,TRRAPALS,46-60,1,0,telephone_may,0.0
33,7,1,3,1,2,0,1,6,1,337,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,John Smith,VXELXVF6,26-35,1,0,telephone_may,0.0
55,4,1,7,1,2,0,1,6,1,272,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Michael Miller,6CX8W3GA,46-60,1,0,telephone_may,0.0
42,1,1,2,1,0,0,1,6,1,208,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,David Hernandez,PPCN79UH,36-45,1,0,telephone_may,0.0
50,1,1,0,1,2,0,1,6,1,193,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Emily Jones,7UPA3WWN,46-60,1,0,telephone_may,0.0
51,1,1,0,1,1,1,1,6,1,212,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,David Davis,GM4T9RT8,46-60,1,0,telephone_may,0.0
38,0,1,3,1,0,0,1,6,1,165,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,David Hernandez,TX0WHFEF,36-45,1,0,telephone_may,0.0
49,2,1,6,1,2,0,1,6,1,1042,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,yes,Sarah Johnson,7P5ZIEJF,46-60,1,0,telephone_may,0.0
38,9,2,6,0,0,2,1,6,1,20,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Michael Williams,A1Z5M2UG,36-45,1,0,telephone_may,0.0
31,0,0,3,0,0,0,1,6,1,246,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Sarah Smith,7CX523SS,26-35,1,0,telephone_may,0.0
41,4,1,1,0,0,0,1,6,1,529,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,David Brown,CGVYWKKI,36-45,1,0,telephone_may,0.0
39,0,1,6,0,2,2,1,6,1,192,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Alex Martinez,3P4JTSBX,36-45,1,0,telephone_may,0.0
49,9,1,2,0,0,0,1,6,1,1467,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,yes,Jane Williams,7I0BAEDM,46-60,1,0,telephone_may,0.0
34,0,1,3,0,2,0,1,6,1,188,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Chris Martinez,2VX1BVYJ,26-35,1,0,telephone_may,0.0
35,0,1,6,0,2,0,1,6,1,180,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,John Smith,P3B70T33,26-35,1,0,telephone_may,0.0
57,11,1,7,1,2,0,1,6,1,48,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Emily Johnson,CROQJA11,46-60,1,0,telephone_may,0.0
60,0,1,7,1,0,2,1,6,1,213,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Laura Smith,T3DBHZP2,46-60,1,0,telephone_may,0.0
33,10,1,2,0,0,0,1,6,1,545,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Alex Johnson,4WAYEOOY,26-35,1,0,telephone_may,0.0
42,1,1,1,0,0,2,1,6,1,583,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,David Johnson,WSVV109X,36-45,1,0,telephone_may,0.0
45,7,1,5,0,2,0,1,6,1,221,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Emily Williams,4OD4W2WH,36-45,1,0,telephone_may,0.0
42,4,1,6,0,0,0,1,6,1,426,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Chris Smith,E49AETA3,36-45,1,0,telephone_may,0.0
53,0,0,6,1,0,0,1,6,1,287,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Emily Jones,TAPENTX3,46-60,1,0,telephone_may,0.0
37,9,2,5,0,0,0,1,6,1,197,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Chris Hernandez,F8TN4QWL,36-45,1,0,telephone_may,0.0
44,1,1,1,0,0,0,1,6,1,257,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Sarah Johnson,FNKNS0AO,36-45,1,0,telephone_may,0.0
54,7,1,7,0,2,0,1,6,1,229,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Sarah Brown,UD709OKI,46-60,1,0,telephone_may,0.0
49,1,1,0,0,0,0,1,6,1,55,3,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Chris Davis,1H39QXUA,46-60,1,0,telephone_may,0.0
54,7,1,7,0,0,0,1,6,1,400,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Jane Williams,QPKYQXGZ,46-60,1,0,telephone_may,0.0
52,0,0,6,0,0,0,1,6,1,197,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Chris Martinez,P28IP0K6,46-60,1,0,telephone_may,0.0
52,0,0,6,0,0,0,1,6,1,190,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Laura Martinez,W8XEC3JJ,46-60,1,0,telephone_may,0.0
43,7,2,3,1,0,0,1,6,1,21,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Laura Jones,RFCNIX4F,36-45,1,0,telephone_may,0.0
34,3,1,1,0,2,0,1,6,1,300,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Chris Jones,G7J0TPQS,26-35,1,0,telephone_may,0.0
35,0,1,3,0,2,0,1,6,1,123,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Laura Davis,I7N3BI5S,26-35,1,0,telephone_may,0.0
42,2,1,7,1,2,0,1,6,1,293,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,John Hernandez,LJJ0T37R,36-45,1,0,telephone_may,0.0
43,9,1,7,1,2,2,1,6,1,325,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,John Miller,JBXGIGVX,36-45,1,0,telephone_may,0.0
60,5,0,6,1,0,0,1,6,1,514,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Michael Jones,IJ25UPDH,46-60,1,0,telephone_may,0.0
58,10,1,0,1,0,0,1,6,1,849,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Alex Jones,ZPJD2XH0,46-60,1,0,telephone_may,0.0
35,7,0,3,0,2,0,1,6,1,194,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Alex Brown,625HNJ7T,26-35,1,0,telephone_may,0.0
55,1,1,2,1,2,0,1,6,1,212,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Katie Miller,MB8DPE9O,46-60,1,0,telephone_may,0.0
37,4,1,6,0,0,0,1,6,1,337,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,John Martinez,JEAOPWY7,36-45,1,0,telephone_may,0.0
36,1,1,3,0,0,0,1,6,1,286,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,John Davis,PHAM816M,36-45,1,0,telephone_may,0.0
52,0,0,6,0,0,0,1,6,1,247,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Sarah Garcia,VPNT5PEC,46-60,1,0,telephone_may,0.0
57,1,0,7,1,2,0,1,6,1,518,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Michael Williams,0TN4ACVM,46-60,1,0,telephone_may,0.0
56,0,1,7,0,2,0,1,6,1,364,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Jane Jones,VIQPDKQV,46-60,1,0,telephone_may,0.0
48,1,0,0,1,2,0,1,6,1,178,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,John Williams,PC8SIRJ2,46-60,1,0,telephone_may,0.0
40,1,1,3,1,2,0,1,6,1,98,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Michael Hernandez,B71Z4JA7,36-45,1,0,telephone_may,0.0
49,1,0,3,0,0,0,1,6,1,439,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Alex Miller,K7VJ95PL,46-60,1,0,telephone_may,0.0
41,7,1,3,0,0,0,1,6,1,139,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Chris Miller,RQ95C0CF,36-45,1,0,telephone_may,0.0
45,9,1,3,0,2,0,1,6,1,79,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Alex Martinez,OBSZ23EA,36-45,1,0,telephone_may,0.0
32,0,1,6,0,2,2,1,6,1,175,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Alex Hernandez,HPH06CA7,26-35,1,0,telephone_may,0.0
42,0,1,6,0,0,2,1,6,1,262,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Katie Miller,D9XXMBTN,36-45,1,0,telephone_may,0.0
50,0,1,1,0,0,0,1,6,1,61,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,John Jones,MT9EBCPJ,46-60,1,0,telephone_may,0.0
31,9,0,5,0,2,2,1,6,1,78,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Emily Garcia,X240CFEE,26-35,1,0,telephone_may,0.0
56,5,1,0,0,2,0,1,6,1,102,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Alex Hernandez,5DF65OEQ,46-60,1,0,telephone_may,0.0
41,9,1,5,1,2,0,1,6,1,579,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,yes,John Davis,Z2NXGWA2,36-45,1,0,telephone_may,0.0
37,1,1,1,0,2,2,1,6,1,143,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,John Smith,VKPE7CO8,36-45,1,0,telephone_may,0.0
41,9,1,5,1,0,0,1,6,1,677,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,David Smith,XB031FKV,36-45,1,0,telephone_may,0.0
35,1,1,7,0,2,0,1,6,1,267,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Katie Miller,A1UTDPEW,26-35,1,0,telephone_may,0.0
37,1,1,1,0,2,0,1,6,1,345,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Sarah Williams,8CYOQFW4,36-45,1,0,telephone_may,0.0
52,4,1,6,0,0,0,1,6,1,185,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Sarah Brown,45MSM7DY,46-60,1,0,telephone_may,0.0
39,4,0,6,0,0,0,1,6,1,207,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,John Davis,W85V4T5Z,36-45,1,0,telephone_may,0.0
39,3,1,0,1,0,0,1,6,1,69,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Emily Davis,A0CKJW6K,36-45,1,0,telephone_may,0.0
56,1,1,0,1,0,0,1,6,1,100,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,David Williams,GNFCW3PT,46-60,1,0,telephone_may,0.0
34,7,1,3,0,2,0,1,6,1,125,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Jane Martinez,T980H28F,26-35,1,0,telephone_may,0.0
45,1,1,2,1,2,0,1,6,1,461,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,yes,Emily Hernandez,3KA2FJ5K,36-45,1,0,telephone_may,0.0
43,10,2,6,0,2,0,1,6,1,240,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Chris Martinez,8RYWUDYI,36-45,1,0,telephone_may,0.0
56,4,1,7,0,2,0,1,6,1,70,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Laura Williams,F7OSI9R9,46-60,1,0,telephone_may,0.0
39,4,1,6,0,2,0,1,6,1,193,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Michael Jones,ATW6GGSY,36-45,1,0,telephone_may,0.0
53,1,1,0,0,2,0,1,6,1,136,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Jane Williams,BJR72K3J,46-60,1,0,telephone_may,0.0
38,11,0,3,1,2,0,1,6,1,73,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Sarah Martinez,TIAH3IOS,36-45,1,0,telephone_may,0.0
42,1,1,0,1,2,0,1,6,1,528,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Emily Jones,SYLGHB80,36-45,1,0,telephone_may,0.0
42,1,1,0,1,0,0,1,6,1,541,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,John Smith,WHVB9QQY,36-45,1,0,telephone_may,0.0
35,0,2,3,0,2,0,1,6,1,338,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Jane Williams,YW1O6M5D,26-35,1,0,telephone_may,0.0
40,0,1,6,1,2,0,1,6,1,163,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,David Brown,IWHDTVQM,36-45,1,0,telephone_may,0.0
51,1,1,0,0,2,0,1,6,1,87,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,David Hernandez,LNG2KJCD,46-60,1,0,telephone_may,0.0
60,1,1,2,1,0,0,1,6,1,301,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Michael Hernandez,QO5SAUJE,46-60,1,0,telephone_may,0.0
56,2,1,7,1,2,0,1,6,1,46,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Laura Miller,6L21D7MQ,46-60,1,0,telephone_may,0.0
39,7,0,3,1,2,0,1,6,1,52,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Laura Davis,X5E2V1Z5,36-45,1,0,telephone_may,0.0
56,2,1,7,1,0,0,1,6,1,204,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,David Johnson,O2TEX68D,46-60,1,0,telephone_may,0.0
40,1,1,7,0,2,2,1,6,1,155,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Emily Johnson,C4SNVOIJ,36-45,1,0,telephone_may,0.0
36,1,1,2,0,2,2,1,6,1,98,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no,Sarah Jones,3HMT1D5H,36-45,1,0,telephone_may,0.0
